strain,type,len_avg
MA_3B,in,1
MA_3B,in,
MA_3B,in,2
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,9
MA_3B,in,1
MA_3B,in,
MA_3B,in,1
MA_3B,in,1
MA_3B,in,1
MA_3B,in,
MA_3B,in,1
MA_3B,in,3
MA_3B,in,1
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,1
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,1
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,1
MA_3B,in,
MA_3B,in,1
MA_3B,in,1
MA_3B,in,2
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,
MA_3B,in,1
MA_3B,in,2
MA_3B,in,
MA_3B,in,
MA_3B,in,6
MA_3B,del,1
MA_3B,del,1
MA_3B,del,1
MA_3B,del,
MA_3B,del,2
MA_3B,del,1
MA_3B,del,
MA_3B,del,1
MA_3B,del,1
MA_3B,del,
MA_3B,del,3
MA_3B,del,1
MA_3B,del,
MA_3B,del,1
MA_3B,del,1
MA_3B,del,1
MA_3B,del,
MA_3B,del,
MA_3B,del,
MA_3B,del,1
MA_3B,del,2
MA_3B,del,1
MA_3B,del,1.75
MA_3B,del,1.5
MA_3B,del,1.5
MA_3B,del,
MA_3B,del,
MA_3B,del,3
MA_3B,del,5.333333333
MA_3B,del,1
MA_3B,del,1.5
MA_3B,del,1
MA_3B,del,2
MA_3B,del,
MA_3B,del,2
MA_3B,del,1
MA_3B,del,1
MA_3B,del,1
MA_3B,del,1
MA_3B,del,2
MA_3B,del,
MA_3B,del,1.333333333
MA_3B,del,
MA_3B,del,
MA_3B,del,1
MA_3B,del,1
MA_3B,del,1.666666667
MA_3B,del,2.5
MA_3B,del,1.666666667
MA_3B,del,
MA_3B,del,
MA_3B,del,1
MA_3B,del,1
MA_3B,del,
MA_3B,del,3
MA_3B,del,1.666666667
MA_3B,del,
MA_3B,del,1
MA_3B,del,2
MA_3B,del,1
MA_3B,del,
MA_3B,del,1
MA_3B,del,1
MA_3B,del,1
MA_s1,in,
MA_s1,in,6
MA_s1,in,
MA_s1,in,1.5
MA_s1,in,1
MA_s1,in,1
MA_s1,in,1
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,1
MA_s1,in,1
MA_s1,in,
MA_s1,in,2
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,2
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,1
MA_s1,in,
MA_s1,in,1
MA_s1,in,
MA_s1,in,1
MA_s1,in,2
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,2
MA_s1,in,1
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,1
MA_s1,in,1
MA_s1,in,1
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,1
MA_s1,in,
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,1
MA_s1,in,1
MA_s1,in,1
MA_s1,in,
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,2
MA_s1,in,1
MA_s1,in,1
MA_s1,in,
MA_s1,in,
MA_s1,in,2
MA_s1,in,1
MA_s1,in,1
MA_s1,in,1
MA_s1,in,1
MA_s1,in,
MA_s1,in,1
MA_s1,del,2
MA_s1,del,1
MA_s1,del,4.666666667
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,
MA_s1,del,1
MA_s1,del,1.333333333
MA_s1,del,
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,2
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,
MA_s1,del,1
MA_s1,del,1
MA_s1,del,
MA_s1,del,1
MA_s1,del,1
MA_s1,del,35.5
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,3.75
MA_s1,del,
MA_s1,del,1.2
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1.2
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,7
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,24
MA_s1,del,1
MA_s1,del,1.333333333
MA_s1,del,13.33333333
MA_s1,del,1
MA_s1,del,
MA_s1,del,1
MA_s1,del,
MA_s1,del,4.333333333
MA_s1,del,
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,43.5
MA_s1,del,
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
MA_s1,del,1
